epoch,acc,loss,val_acc,val_loss
0,0.466666668653,1.00708894928,0.733333334327,0.683963636557
1,0.916666656733,0.204145421584,0.666666651766,0.563350687424
2,1.0,0.0166704478518,0.733333334327,0.763771561285
3,1.0,0.00595610021264,0.733333334327,0.785647225877
4,1.0,0.00250628694387,0.666666651766,0.653570840756
5,1.0,0.000785698347803,0.733333334327,0.687800462047
6,1.0,0.000477446264995,0.666666651766,0.682556410631
7,1.0,0.000580621332726,0.666666651766,0.676665673653
8,1.0,0.000133361577658,0.666666651766,0.628679012259
9,1.0,9.88897942686e-05,0.733333319426,0.625179578861
10,1.0,0.0016601284533,0.666666651766,1.40505893032
11,1.0,0.00119903965818,0.666666651766,1.29455234607
12,1.0,2.49198846139e-05,0.666666651766,1.26563891768
13,1.0,3.45339122229e-05,0.666666651766,1.10308220983
14,1.0,2.15135066052e-05,0.666666651766,0.941116889318
15,1.0,3.28777655151e-05,0.666666651766,1.14513268073
16,1.0,1.14071753501e-05,0.666666651766,1.20807565252
17,1.0,4.88176192448e-06,0.666666651766,1.12341222167
18,1.0,1.15820330085e-05,0.666666651766,1.31219599644
19,1.0,1.17923746454e-05,0.666666651766,1.55043516556
